Model,MDO3104
Firmware Version,1.30

Waveform Type,RF_FD
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,2e+07
,
Sample Interval,266667
Record Length,751
Gating,0.133155792277% to 100.0%
Probe Attenuation,1
Vertical Units,dBm
Vertical Offset,0
Vertical Scale,10
Vertical Position,0
Center Frequency,1.1e+08
Span,2e+08
Reference Level,0
Label,
FREQUENCY,FD NORM
1.000000000e+07,-73.0469
1.026666667e+07,-79.1607
1.053333333e+07,-67.9781
1.080000000e+07,-76.7078
1.106666667e+07,-77.0286
1.133333333e+07,-68.7172
1.160000000e+07,-80.4408
1.186666667e+07,-64.8121
1.213333333e+07,-64.8197
1.240000000e+07,-77.8314
1.266666667e+07,-73.1441
1.293333333e+07,-73.2626
1.320000000e+07,-73.2839
1.346666667e+07,-73.3429
1.373333333e+07,-77.1394
1.400000000e+07,-75.5017
1.426666667e+07,-75.4571
1.453333333e+07,-80.5095
1.480000000e+07,-73.2976
1.506666667e+07,-77.8264
1.533333333e+07,-76.6074
1.560000000e+07,-75.136
1.586666667e+07,-76.9287
1.613333333e+07,-77.5442
1.640000000e+07,-78.9329
1.666666667e+07,-74.9014
1.693333333e+07,-75.3966
1.720000000e+07,-75.859
1.746666667e+07,-79.0181
1.773333333e+07,-78.3085
1.800000000e+07,-76.4466
1.826666667e+07,-74.4236
1.853333333e+07,-75.0647
1.880000000e+07,-79.3097
1.906666667e+07,-78.2051
1.933333333e+07,-79.6437
1.960000000e+07,-75.0903
1.986666667e+07,-81.1649
2.013333333e+07,-76.2592
2.040000000e+07,-78.7453
2.066666667e+07,-77.2468
2.093333333e+07,-77.7004
2.120000000e+07,-78.0265
2.146666667e+07,-76.7364
2.173333333e+07,-76.592
2.200000000e+07,-76.2814
2.226666667e+07,-75.4642
2.253333333e+07,-79.0927
2.280000000e+07,-75.9943
2.306666667e+07,-76.483
2.333333333e+07,-77.7738
2.360000000e+07,-77.6436
2.386666667e+07,-70.6421
2.413333333e+07,-70.0644
2.440000000e+07,-76.2884
2.466666667e+07,-81.3382
2.493333333e+07,-49.2381
2.520000000e+07,-80.084
2.546666667e+07,-81.2348
2.573333333e+07,-79.489
2.600000000e+07,-71.9906
2.626666667e+07,-72.614
2.653333333e+07,-78.4508
2.680000000e+07,-74.5235
2.706666667e+07,-75.0816
2.733333333e+07,-80.4719
2.760000000e+07,-77.919
2.786666667e+07,-77.8364
2.813333333e+07,-76.5944
2.840000000e+07,-78.3022
2.866666667e+07,-79.1869
2.893333333e+07,-76.0681
2.920000000e+07,-81.8096
2.946666667e+07,-79.6557
2.973333333e+07,-80.1708
3.000000000e+07,-77.5224
3.026666667e+07,-74.6236
3.053333333e+07,-76.0616
3.080000000e+07,-76.2203
3.106666667e+07,-85.4691
3.133333333e+07,-78.5261
3.160000000e+07,-78.7836
3.186666667e+07,-76.9438
3.213333333e+07,-78.8472
3.240000000e+07,-77.4141
3.266666667e+07,-78.1263
3.293333333e+07,-76.0674
3.320000000e+07,-79.4819
3.346666667e+07,-79.0549
3.373333333e+07,-79.2373
3.400000000e+07,-78.1059
3.426666667e+07,-79.9558
3.453333333e+07,-77.1817
3.480000000e+07,-80.8976
3.506666667e+07,-79.707
3.533333333e+07,-80.3976
3.560000000e+07,-79.1235
3.586666667e+07,-56.3516
3.613333333e+07,-56.3399
3.640000000e+07,-79.4628
3.666666667e+07,-78.9297
3.693333333e+07,-81.1623
3.720000000e+07,-78.5302
3.746666667e+07,-82.1562
3.773333333e+07,-78.1267
3.800000000e+07,-79.5235
3.826666667e+07,-77.2018
3.853333333e+07,-77.7106
3.880000000e+07,-80.7532
3.906666667e+07,-80.0166
3.933333333e+07,-77.7049
3.960000000e+07,-77.3207
3.986666667e+07,-78.9936
4.013333333e+07,-79.8401
4.040000000e+07,-81.9456
4.066666667e+07,-80.3715
4.093333333e+07,-78.1859
4.120000000e+07,-78.5111
4.146666667e+07,-82.2092
4.173333333e+07,-78.6674
4.200000000e+07,-81.6615
4.226666667e+07,-79.2023
4.253333333e+07,-84.2816
4.280000000e+07,-79.0546
4.306666667e+07,-78.6905
4.333333333e+07,-79.924
4.360000000e+07,-78.759
4.386666667e+07,-79.9593
4.413333333e+07,-77.0716
4.440000000e+07,-75.604
4.466666667e+07,-79.8537
4.493333333e+07,-77.034
4.520000000e+07,-77.0708
4.546666667e+07,-81.3822
4.573333333e+07,-80.5911
4.600000000e+07,-78.0407
4.626666667e+07,-82.9732
4.653333333e+07,-77.4613
4.680000000e+07,-80.6899
4.706666667e+07,-78.6053
4.733333333e+07,-79.4911
4.760000000e+07,-76.9292
4.786666667e+07,-62.867
4.813333333e+07,-62.6669
4.840000000e+07,-78.9179
4.866666667e+07,-79.7807
4.893333333e+07,-80.3267
4.920000000e+07,-80.158
4.946666667e+07,-78.5393
4.973333333e+07,-78.129
5.000000000e+07,-79.9783
5.026666667e+07,-80.2149
5.053333333e+07,-77.909
5.080000000e+07,-80.5954
5.106666667e+07,-76.2408
5.133333333e+07,-78.8734
5.160000000e+07,-79.5004
5.186666667e+07,-80.7935
5.213333333e+07,-77.5842
5.240000000e+07,-79.8851
5.266666667e+07,-80.1523
5.293333333e+07,-78.1835
5.320000000e+07,-81.2585
5.346666667e+07,-77.1487
5.373333333e+07,-78.8254
5.400000000e+07,-78.7311
5.426666667e+07,-81.3453
5.453333333e+07,-81.0572
5.480000000e+07,-81.6199
5.506666667e+07,-78.9382
5.533333333e+07,-78.5773
5.560000000e+07,-82.9299
5.586666667e+07,-78.8482
5.613333333e+07,-82.4536
5.640000000e+07,-77.611
5.666666667e+07,-79.9441
5.693333333e+07,-79.0933
5.720000000e+07,-81.6339
5.746666667e+07,-75.3634
5.773333333e+07,-79.2288
5.800000000e+07,-79.3277
5.826666667e+07,-81.3587
5.853333333e+07,-73.0671
5.880000000e+07,-78.0638
5.906666667e+07,-78.7679
5.933333333e+07,-78.2946
5.960000000e+07,-76.9154
5.986666667e+07,-28.5407
6.013333333e+07,-28.494
6.040000000e+07,-80.3936
6.066666667e+07,-75.9152
6.093333333e+07,-77.1107
6.120000000e+07,-78.2145
6.146666667e+07,-80.0244
6.173333333e+07,-74.8128
6.200000000e+07,-77.5619
6.226666667e+07,-80.0195
6.253333333e+07,-78.5821
6.280000000e+07,-77.0346
6.306666667e+07,-78.1898
6.333333333e+07,-78.1882
6.360000000e+07,-78.8034
6.386666667e+07,-76.8835
6.413333333e+07,-79.9175
6.440000000e+07,-80.4601
6.466666667e+07,-76.0536
6.493333333e+07,-79.7766
6.520000000e+07,-74.2427
6.546666667e+07,-78.1928
6.573333333e+07,-74.3608
6.600000000e+07,-76.867
6.626666667e+07,-75.6884
6.653333333e+07,-75.9358
6.680000000e+07,-78.7998
6.706666667e+07,-77.6992
6.733333333e+07,-77.9625
6.760000000e+07,-77.5702
6.786666667e+07,-77.5304
6.813333333e+07,-77.6385
6.840000000e+07,-78.373
6.866666667e+07,-83.3983
6.893333333e+07,-82.086
6.920000000e+07,-76.8895
6.946666667e+07,-80.529
6.973333333e+07,-75.3504
7.000000000e+07,-77.4364
7.026666667e+07,-80.1585
7.053333333e+07,-77.886
7.080000000e+07,-74.0857
7.106666667e+07,-78.1038
7.133333333e+07,-78.7331
7.160000000e+07,-77.2158
7.186666667e+07,-62.9572
7.213333333e+07,-63.0801
7.240000000e+07,-76.6169
7.266666667e+07,-75.7503
7.293333333e+07,-76.0541
7.320000000e+07,-73.643
7.346666667e+07,-77.7366
7.373333333e+07,-78.0562
7.400000000e+07,-77.9589
7.426666667e+07,-79.1
7.453333333e+07,-78.5864
7.480000000e+07,-76.4407
7.506666667e+07,-70.9212
7.533333333e+07,-75.7357
7.560000000e+07,-75.9174
7.586666667e+07,-78.8589
7.613333333e+07,-78.3849
7.640000000e+07,-75.5113
7.666666667e+07,-79.0414
7.693333333e+07,-78.05
7.720000000e+07,-77.3519
7.746666667e+07,-78.7698
7.773333333e+07,-79.7716
7.800000000e+07,-77.7912
7.826666667e+07,-77.7906
7.853333333e+07,-75.366
7.880000000e+07,-73.6392
7.906666667e+07,-78.5811
7.933333333e+07,-74.9806
7.960000000e+07,-75.2319
7.986666667e+07,-75.9403
8.013333333e+07,-76.4565
8.040000000e+07,-77.3351
8.066666667e+07,-75.7509
8.093333333e+07,-77.3947
8.120000000e+07,-78.2713
8.146666667e+07,-77.8986
8.173333333e+07,-79.7136
8.200000000e+07,-75.4706
8.226666667e+07,-74.9475
8.253333333e+07,-75.7729
8.280000000e+07,-78.4111
8.306666667e+07,-74.336
8.333333333e+07,-75.6643
8.360000000e+07,-80.3288
8.386666667e+07,-50.5394
8.413333333e+07,-50.5118
8.440000000e+07,-74.8661
8.466666667e+07,-77.5564
8.493333333e+07,-75.6796
8.520000000e+07,-77.4577
8.546666667e+07,-78.5559
8.573333333e+07,-77.7042
8.600000000e+07,-77.5489
8.626666667e+07,-78.7437
8.653333333e+07,-79.8519
8.680000000e+07,-75.4602
8.706666667e+07,-77.2357
8.733333333e+07,-76.4517
8.760000000e+07,-78.9605
8.786666667e+07,-81.457
8.813333333e+07,-82.0283
8.840000000e+07,-76.9935
8.866666667e+07,-80.8658
8.893333333e+07,-74.4446
8.920000000e+07,-77.2426
8.946666667e+07,-77.4618
8.973333333e+07,-76.5181
9.000000000e+07,-56.2031
9.026666667e+07,-76.3515
9.053333333e+07,-77.4327
9.080000000e+07,-77.2962
9.106666667e+07,-76.3138
9.133333333e+07,-76.2666
9.160000000e+07,-76.9001
9.186666667e+07,-77.4165
9.213333333e+07,-75.798
9.240000000e+07,-77.2832
9.266666667e+07,-78.6287
9.293333333e+07,-75.5525
9.320000000e+07,-80.7992
9.346666667e+07,-78.7736
9.373333333e+07,-77.4915
9.400000000e+07,-78.8126
9.426666667e+07,-79.3864
9.453333333e+07,-75.2769
9.480000000e+07,-77.5143
9.506666667e+07,-75.1997
9.533333333e+07,-74.4105
9.560000000e+07,-73.6412
9.586666667e+07,-62.3229
9.613333333e+07,-55.8241
9.640000000e+07,-76.1675
9.666666667e+07,-75.8777
9.693333333e+07,-77.2047
9.720000000e+07,-75.4895
9.746666667e+07,-77.3555
9.773333333e+07,-79.139
9.800000000e+07,-76.8359
9.826666667e+07,-78.0932
9.853333333e+07,-77.8223
9.880000000e+07,-76.7755
9.906666667e+07,-77.7951
9.933333333e+07,-76.7163
9.960000000e+07,-75.7431
9.986666667e+07,-76.3502
1.001333333e+08,-72.8204
1.004000000e+08,-76.3137
1.006666667e+08,-77.2522
1.009333333e+08,-79.052
1.012000000e+08,-74.2401
1.014666667e+08,-75.6814
1.017333333e+08,-77.503
1.020000000e+08,-74.6624
1.022666667e+08,-76.4344
1.025333333e+08,-74.4173
1.028000000e+08,-76.2322
1.030666667e+08,-75.6389
1.033333333e+08,-77.7773
1.036000000e+08,-76.502
1.038666667e+08,-75.815
1.041333333e+08,-75.09
1.044000000e+08,-76.2126
1.046666667e+08,-82.0878
1.049333333e+08,-79.0129
1.052000000e+08,-78.0897
1.054666667e+08,-77.3334
1.057333333e+08,-77.5601
1.060000000e+08,-74.0366
1.062666667e+08,-76.34
1.065333333e+08,-75.5359
1.068000000e+08,-79.013
1.070666667e+08,-75.6859
1.073333333e+08,-76.8403
1.076000000e+08,-76.7997
1.078666667e+08,-49.0352
1.081333333e+08,-48.9594
1.084000000e+08,-77.2392
1.086666667e+08,-75.8234
1.089333333e+08,-76.3553
1.092000000e+08,-75.2673
1.094666667e+08,-76.2517
1.097333333e+08,-79.1319
1.100000000e+08,-80.7445
1.102666667e+08,-76.5908
1.105333333e+08,-81.1358
1.108000000e+08,-77.8708
1.110666667e+08,-79.3023
1.113333333e+08,-77.4678
1.116000000e+08,-80.2146
1.118666667e+08,-75.6213
1.121333333e+08,-76.5636
1.124000000e+08,-82.169
1.126666667e+08,-79.7188
1.129333333e+08,-78.3687
1.132000000e+08,-78.3123
1.134666667e+08,-76.9824
1.137333333e+08,-80.2691
1.140000000e+08,-77.5323
1.142666667e+08,-78.1286
1.145333333e+08,-76.1473
1.148000000e+08,-76.1397
1.150666667e+08,-77.2813
1.153333333e+08,-78.5558
1.156000000e+08,-76.1157
1.158666667e+08,-77.3686
1.161333333e+08,-78.2088
1.164000000e+08,-80.461
1.166666667e+08,-78.6261
1.169333333e+08,-76.9221
1.172000000e+08,-76.9488
1.174666667e+08,-79.3425
1.177333333e+08,-75.8089
1.180000000e+08,-76.9436
1.182666667e+08,-81.7317
1.185333333e+08,-78.5709
1.188000000e+08,-78.4594
1.190666667e+08,-75.5645
1.193333333e+08,-76.0313
1.196000000e+08,-76.4854
1.198666667e+08,-31.7279
1.201333333e+08,-31.6317
1.204000000e+08,-74.7906
1.206666667e+08,-77.8727
1.209333333e+08,-74.3258
1.212000000e+08,-79.3909
1.214666667e+08,-74.5057
1.217333333e+08,-76.3515
1.220000000e+08,-77.8738
1.222666667e+08,-76.4232
1.225333333e+08,-77.0642
1.228000000e+08,-78.852
1.230666667e+08,-78.749
1.233333333e+08,-78.2511
1.236000000e+08,-76.3836
1.238666667e+08,-75.9359
1.241333333e+08,-77.6733
1.244000000e+08,-80.0366
1.246666667e+08,-77.2939
1.249333333e+08,-70.5787
1.252000000e+08,-80.9374
1.254666667e+08,-80.057
1.257333333e+08,-79.5197
1.260000000e+08,-77.6437
1.262666667e+08,-77.3006
1.265333333e+08,-78.7896
1.268000000e+08,-80.1738
1.270666667e+08,-77.8771
1.273333333e+08,-75.2679
1.276000000e+08,-80.4195
1.278666667e+08,-77.2
1.281333333e+08,-78.4706
1.284000000e+08,-79.4145
1.286666667e+08,-76.6921
1.289333333e+08,-79.3735
1.292000000e+08,-76.7385
1.294666667e+08,-78.0486
1.297333333e+08,-78.6908
1.300000000e+08,-78.8581
1.302666667e+08,-78.4746
1.305333333e+08,-78.7376
1.308000000e+08,-79.779
1.310666667e+08,-76.3322
1.313333333e+08,-82.2669
1.316000000e+08,-78.582
1.318666667e+08,-47.6958
1.321333333e+08,-47.5966
1.324000000e+08,-78.859
1.326666667e+08,-76.9962
1.329333333e+08,-77.4724
1.332000000e+08,-78.4449
1.334666667e+08,-77.4296
1.337333333e+08,-80.4708
1.340000000e+08,-78.9413
1.342666667e+08,-77.3203
1.345333333e+08,-77.1367
1.348000000e+08,-80.28
1.350666667e+08,-75.9905
1.353333333e+08,-79.1996
1.356000000e+08,-78.1138
1.358666667e+08,-78.3859
1.361333333e+08,-79.848
1.364000000e+08,-76.0335
1.366666667e+08,-80.0121
1.369333333e+08,-78.6495
1.372000000e+08,-76.9994
1.374666667e+08,-77.7236
1.377333333e+08,-79.0524
1.380000000e+08,-78.7698
1.382666667e+08,-80.5965
1.385333333e+08,-77.1725
1.388000000e+08,-75.531
1.390666667e+08,-75.9089
1.393333333e+08,-77.6157
1.396000000e+08,-78.0242
1.398666667e+08,-79.4143
1.401333333e+08,-75.8098
1.404000000e+08,-78.5309
1.406666667e+08,-77.0969
1.409333333e+08,-77.481
1.412000000e+08,-76.1297
1.414666667e+08,-80.8747
1.417333333e+08,-80.2636
1.420000000e+08,-77.3996
1.422666667e+08,-79.5629
1.425333333e+08,-79.3652
1.428000000e+08,-79.6735
1.430666667e+08,-78.148
1.433333333e+08,-79.6488
1.436000000e+08,-76.9556
1.438666667e+08,-61.2883
1.441333333e+08,-59.8795
1.444000000e+08,-78.3829
1.446666667e+08,-79.0721
1.449333333e+08,-81.8503
1.452000000e+08,-79.2409
1.454666667e+08,-81.3179
1.457333333e+08,-78.3662
1.460000000e+08,-78.4615
1.462666667e+08,-79.0457
1.465333333e+08,-78.8647
1.468000000e+08,-77.5761
1.470666667e+08,-79.5546
1.473333333e+08,-77.6446
1.476000000e+08,-78.0917
1.478666667e+08,-78.3527
1.481333333e+08,-80.2319
1.484000000e+08,-76.1042
1.486666667e+08,-82.0071
1.489333333e+08,-76.2921
1.492000000e+08,-78.0033
1.494666667e+08,-77.7895
1.497333333e+08,-78.5327
1.500000000e+08,-78.5162
1.502666667e+08,-77.1886
1.505333333e+08,-79.5961
1.508000000e+08,-76.9491
1.510666667e+08,-77.7458
1.513333333e+08,-79.6451
1.516000000e+08,-77.789
1.518666667e+08,-82.3696
1.521333333e+08,-78.9895
1.524000000e+08,-73.454
1.526666667e+08,-77.7792
1.529333333e+08,-79.413
1.532000000e+08,-76.2134
1.534666667e+08,-77.3171
1.537333333e+08,-78.5764
1.540000000e+08,-82.6246
1.542666667e+08,-78.7095
1.545333333e+08,-78.128
1.548000000e+08,-74.6901
1.550666667e+08,-74.3743
1.553333333e+08,-77.3479
1.556000000e+08,-75.7159
1.558666667e+08,-47.049
1.561333333e+08,-46.9172
1.564000000e+08,-78.9871
1.566666667e+08,-78.682
1.569333333e+08,-77.1338
1.572000000e+08,-76.3997
1.574666667e+08,-75.7282
1.577333333e+08,-77.0696
1.580000000e+08,-77.4583
1.582666667e+08,-79.5776
1.585333333e+08,-77.3185
1.588000000e+08,-78.7039
1.590666667e+08,-80.3485
1.593333333e+08,-78.9726
1.596000000e+08,-78.5189
1.598666667e+08,-77.5668
1.601333333e+08,-80.7225
1.604000000e+08,-77.1318
1.606666667e+08,-76.7243
1.609333333e+08,-76.6928
1.612000000e+08,-78.3287
1.614666667e+08,-76.1109
1.617333333e+08,-74.7691
1.620000000e+08,-74.3464
1.622666667e+08,-79.3436
1.625333333e+08,-80.9717
1.628000000e+08,-79.4739
1.630666667e+08,-81.056
1.633333333e+08,-75.976
1.636000000e+08,-79.4526
1.638666667e+08,-79.5749
1.641333333e+08,-77.7807
1.644000000e+08,-76.1323
1.646666667e+08,-78.4573
1.649333333e+08,-76.3192
1.652000000e+08,-76.3
1.654666667e+08,-75.0379
1.657333333e+08,-79.0734
1.660000000e+08,-74.9308
1.662666667e+08,-77.2725
1.665333333e+08,-75.8784
1.668000000e+08,-76.8671
1.670666667e+08,-76.4121
1.673333333e+08,-80.1632
1.676000000e+08,-77.9548
1.678666667e+08,-62.9998
1.681333333e+08,-63.001
1.684000000e+08,-75.5805
1.686666667e+08,-80.5309
1.689333333e+08,-72.5298
1.692000000e+08,-78.9809
1.694666667e+08,-78.2284
1.697333333e+08,-79.4348
1.700000000e+08,-78.7381
1.702666667e+08,-79.0149
1.705333333e+08,-77.5604
1.708000000e+08,-77.7424
1.710666667e+08,-78.205
1.713333333e+08,-78.723
1.716000000e+08,-78.0046
1.718666667e+08,-77.2909
1.721333333e+08,-77.6704
1.724000000e+08,-78.8371
1.726666667e+08,-78.3228
1.729333333e+08,-79.917
1.732000000e+08,-80.584
1.734666667e+08,-78.9821
1.737333333e+08,-81.657
1.740000000e+08,-75.2709
1.742666667e+08,-80.9413
1.745333333e+08,-76.4466
1.748000000e+08,-78.0589
1.750666667e+08,-78.5128
1.753333333e+08,-76.8313
1.756000000e+08,-80.4566
1.758666667e+08,-77.0966
1.761333333e+08,-75.7602
1.764000000e+08,-80.0664
1.766666667e+08,-78.0206
1.769333333e+08,-77.9816
1.772000000e+08,-76.4622
1.774666667e+08,-75.1341
1.777333333e+08,-80.1173
1.780000000e+08,-76.8398
1.782666667e+08,-77.5476
1.785333333e+08,-80.1214
1.788000000e+08,-73.6212
1.790666667e+08,-78.3078
1.793333333e+08,-77.8644
1.796000000e+08,-80.0461
1.798666667e+08,-36.0678
1.801333333e+08,-35.9585
1.804000000e+08,-75.8724
1.806666667e+08,-79.966
1.809333333e+08,-76.7106
1.812000000e+08,-78.3589
1.814666667e+08,-78.0231
1.817333333e+08,-78.9129
1.820000000e+08,-78.5067
1.822666667e+08,-76.3023
1.825333333e+08,-75.1645
1.828000000e+08,-76.08
1.830666667e+08,-75.6324
1.833333333e+08,-78.816
1.836000000e+08,-77.2754
1.838666667e+08,-74.0705
1.841333333e+08,-80.154
1.844000000e+08,-75.0443
1.846666667e+08,-78.7161
1.849333333e+08,-75.7023
1.852000000e+08,-77.2409
1.854666667e+08,-77.9489
1.857333333e+08,-77.382
1.860000000e+08,-78.8587
1.862666667e+08,-78.1334
1.865333333e+08,-78.1052
1.868000000e+08,-80.5096
1.870666667e+08,-75.0739
1.873333333e+08,-77.3367
1.876000000e+08,-77.7638
1.878666667e+08,-76.1978
1.881333333e+08,-78.6909
1.884000000e+08,-76.5821
1.886666667e+08,-75.1405
1.889333333e+08,-74.8847
1.892000000e+08,-77.4524
1.894666667e+08,-80.5171
1.897333333e+08,-82.9163
1.900000000e+08,-80.2145
1.902666667e+08,-78.4619
1.905333333e+08,-78.3614
1.908000000e+08,-77.9329
1.910666667e+08,-76.9102
1.913333333e+08,-77.9938
1.916000000e+08,-79.6485
1.918666667e+08,-64.7517
1.921333333e+08,-55.4253
1.924000000e+08,-80.3501
1.926666667e+08,-75.276
1.929333333e+08,-78.6855
1.932000000e+08,-74.9249
1.934666667e+08,-78.9268
1.937333333e+08,-78.1868
1.940000000e+08,-73.3698
1.942666667e+08,-75.4101
1.945333333e+08,-76.9463
1.948000000e+08,-76.0344
1.950666667e+08,-72.4953
1.953333333e+08,-77.6554
1.956000000e+08,-73.5028
1.958666667e+08,-75.5614
1.961333333e+08,-77.3064
1.964000000e+08,-75.6145
1.966666667e+08,-76.9063
1.969333333e+08,-76.3201
1.972000000e+08,-78.5565
1.974666667e+08,-80.1025
1.977333333e+08,-78.0406
1.980000000e+08,-79.1283
1.982666667e+08,-75.6529
1.985333333e+08,-77.5302
1.988000000e+08,-77.3059
1.990666667e+08,-78.6295
1.993333333e+08,-76.6081
1.996000000e+08,-76.8909
1.998666667e+08,-73.8182
2.001333333e+08,-72.6875
2.004000000e+08,-75.5969
2.006666667e+08,-78.309
2.009333333e+08,-78.5334
2.012000000e+08,-78.4394
2.014666667e+08,-75.4415
2.017333333e+08,-74.9249
2.020000000e+08,-79.8936
2.022666667e+08,-80.2419
2.025333333e+08,-73.5543
2.028000000e+08,-76.646
2.030666667e+08,-78.9125
2.033333333e+08,-77.8822
2.036000000e+08,-77.6429
2.038666667e+08,-46.2528
2.041333333e+08,-46.1453
2.044000000e+08,-75.2418
2.046666667e+08,-78.2776
2.049333333e+08,-74.6385
2.052000000e+08,-76.0312
2.054666667e+08,-76.4406
2.057333333e+08,-77.6828
2.060000000e+08,-75.836
2.062666667e+08,-73.8336
2.065333333e+08,-72.7442
2.068000000e+08,-76.3177
2.070666667e+08,-76.5827
2.073333333e+08,-76.5968
2.076000000e+08,-72.9442
2.078666667e+08,-77.2325
2.081333333e+08,-75.537
2.084000000e+08,-78.593
2.086666667e+08,-77.8392
2.089333333e+08,-74.1754
2.092000000e+08,-78.0486
2.094666667e+08,-77.8417
2.097333333e+08,-78.9985
2.100000000e+08,-78.575

